(1, 'Mercedes', 'HJ302TI', 'giallo', 1200, 'Automatico', 10274),
(37, 'BMW', 'AL275TU', 'rosso', 2400, 'Manuale', 42773),
(38, 'Toyota', 'QN608SQ', 'grigio', 1200, 'Manuale', 22332),
(39, 'Mercedes', 'SE840BR', 'blu', 2400, 'Automatico', 15029),
(40, 'Audi', 'QJ120EU', 'rosso', 2000, 'Automatico', 19746),
(41, 'Mercedes', 'RK916VY', 'giallo', 1800, 'Automatico', 44043),
(42, 'BMW', 'ZP701RX', 'nero', 2200, 'Automatico', 56594),
(43, 'Audi', 'LB169IM', 'blu', 1800, 'Automatico', 24738),
(44, 'Audi', 'RS397VM', 'nero', 2600, 'Automatico', 79418),
(45, 'BMW', 'ZG472MA', 'giallo', 1800, 'Manuale', 31140),
(46, 'BMW', 'WA533DC', 'viola', 2000, 'Manuale', 25374),
(47, 'Audi', 'QO146ZV', 'rosa', 2200, 'Automatico', 45051),
(48, 'Audi', 'SI782GG', 'rosa', 1600, 'Automatico', 20044),
(49, 'Audi', 'YB598AS', 'marrone', 1800, 'Automatico', 19097),
(50, 'Audi', 'IM227CJ', 'giallo', 2000, 'Automatico', 37523),
(51, 'Mercedes', 'UL413SY', 'nero', 2600, 'Automatico', 39146),
(52, 'BMW', 'PR833NN', 'nero', 2400, 'Automatico', 41865),
(53, 'BMW', 'NM482LE', 'rosa', 2600, 'Automatico', 38422),
(54, 'BMW', 'HF476IL', 'nero', 1400, 'Manuale', 13269),
(55, 'Audi', 'MN506EJ', 'nero', 1200, 'Automatico', 37934),
(56, 'Toyota', 'FI651VU', 'rosa', 1200, 'Automatico', 75816),
(57, 'BMW', 'CT803WX', 'arancione', 1800, 'Manuale', 44493),
(58, 'Toyota', 'CG244SS', 'verde', 1600, 'Automatico', 10301),
(59, 'BMW', 'CL906PK', 'nero', 1200, 'Automatico', 56246),
(60, 'Toyota', 'OZ640CI', 'rosso', 2200, 'Automatico', 61583),
(61, 'Audi', 'GS600NT', 'marrone', 2000, 'Automatico', 21768),
(62, 'Mercedes', 'UE168KJ', 'rosso', 2400, 'Manuale', 60789),
(63, 'BMW', 'QF316HX', 'nero', 2000, 'Automatico', 16650),
(64, 'Toyota', 'BR533DZ', 'nero', 1600, 'Automatico', 71618),
(65, 'BMW', 'GZ529DD', 'grigio', 1400, 'Automatico', 10449),
(66, 'Toyota', 'HW897IE', 'verde', 2000, 'Automatico', 68499),
(67, 'BMW', 'LA528II', 'nero', 1200, 'Manuale', 63928),
(68, 'Mercedes', 'AS585RF', 'arancione', 1800, 'Automatico', 12611),
(69, 'BMW', 'LA482KM', 'arancione', 2200, 'Manuale', 76221),
(70, 'Toyota', 'VG184QW', 'giallo', 2200, 'Automatico', 72113),
(71, 'Toyota', 'NX571SZ', 'blu', 2200, 'Automatico', 50712),
(72, 'Mercedes', 'RP339FE', 'nero', 1200, 'Automatico', 17560),
(73, 'BMW', 'YI304OO', 'viola', 2200, 'Manuale', 50270),
(74, 'BMW', 'CT187ES', 'marrone', 2200, 'Manuale', 26791),
(75, 'Audi', 'EP255GF', 'blu', 1600, 'Manuale', 67096),
(76, 'Mercedes', 'HY596ES', 'rosa', 1600, 'Manuale', 11841),
(77, 'Mercedes', 'CL295ML', 'nero', 2000, 'Manuale', 24610),
(78, 'Mercedes', 'PZ959WZ', 'marrone', 1200, 'Automatico', 54835),
(79, 'Mercedes', 'XE288GI', 'marrone', 1800, 'Manuale', 66162),
(80, 'Audi', 'BC611TU', 'verde', 2000, 'Automatico', 53410),
(81, 'BMW', 'QL720LR', 'rosa', 1600, 'Manuale', 29056),
(82, 'Audi', 'NN884IY', 'rosa', 1600, 'Manuale', 35731),
(83, 'Audi', 'TP391ZR', 'viola', 2000, 'Automatico', 11953),
(84, 'BMW', 'MO744HF', 'blu', 1600, 'Manuale', 19132),
(85, 'Toyota', 'SA798YH', 'blu', 2000, 'Automatico', 14355),
(86, 'Audi', 'CV999LA', 'verde', 1400, 'Manuale', 39215),
(87, 'Audi', 'WP337UB', 'grigio', 2600, 'Manuale', 12400),
(88, 'BMW', 'BJ940MY', 'grigio', 1400, 'Automatico', 31075),
(89, 'BMW', 'GX903NY', 'arancione', 1200, 'Manuale', 57644),
(90, 'Mercedes', 'NB844CE', 'verde', 1600, 'Automatico', 16311),
(91, 'Audi', 'CN611TG', 'nero', 1200, 'Manuale', 71095),
(92, 'Toyota', 'YZ630VB', 'marrone', 1400, 'Automatico', 57752),
(93, 'Audi', 'FA746HJ', 'arancione', 1600, 'Automatico', 25894),
(94, 'Toyota', 'JY615SZ', 'rosa', 1800, 'Manuale', 30203),
(95, 'Toyota', 'ZO242HE', 'giallo', 2600, 'Manuale', 73565),
(96, 'BMW', 'WS315FC', 'arancione', 2200, 'Automatico', 19330),
(97, 'Audi', 'JT804KC', 'grigio', 2000, 'Manuale', 74864),
(98, 'Toyota', 'KA621IO', 'nero', 1800, 'Manuale', 60685),
(99, 'Mercedes', 'PA557OH', 'marrone', 2200, 'Automatico', 24160),
(100, 'BMW', 'JP324JR', 'blu', 1600, 'Automatico', 10029),
(101, 'Audi', 'HM671RJ', 'marrone', 1400, 'Automatico', 36588),
(102, 'BMW', 'DT758YG', 'grigio', 1400, 'Automatico', 19700),
(103, 'Audi', 'CL783RT', 'rosso', 2200, 'Manuale', 45365),
(104, 'Mercedes', 'IF327JH', 'rosa', 1800, 'Manuale', 69329),
(105, 'Toyota', 'GJ901NG', 'grigio', 2200, 'Manuale', 45440),
(106, 'Audi', 'MJ509CF', 'rosso', 2600, 'Manuale', 11256),
(107, 'BMW', 'XL350IX', 'rosso', 2400, 'Automatico', 31417),
(108, 'Audi', 'PZ269LM', 'nero', 2600, 'Automatico', 15823),
(109, 'Toyota', 'GR460PH', 'marrone', 2000, 'Automatico', 13838),
(110, 'Mercedes', 'HS279MG', 'arancione', 1800, 'Manuale', 76147),
(111, 'Toyota', 'IL210VP', 'rosso', 1400, 'Manuale', 62830),
(112, 'Audi', 'KC621CW', 'rosso', 1800, 'Manuale', 40949),
(113, 'Mercedes', 'DA374AK', 'nero', 1200, 'Manuale', 79842),
(114, 'Audi', 'UN190EJ', 'nero', 1800, 'Automatico', 10239),
(115, 'Toyota', 'ZL660YQ', 'marrone', 2600, 'Manuale', 55001),
(116, 'Audi', 'AX672VJ', 'nero', 2200, 'Automatico', 32971),
(117, 'Mercedes', 'UT943DO', 'grigio', 2200, 'Automatico', 36062),
(118, 'Audi', 'MY269GR', 'rosa', 1400, 'Manuale', 70968),
(119, 'Toyota', 'AY657OC', 'rosso', 2400, 'Automatico', 68487),
(120, 'Toyota', 'QO848DY', 'rosso', 2600, 'Automatico', 45650),
(121, 'Audi', 'UC927ST', 'blu', 2200, 'Manuale', 55291),
(122, 'Toyota', 'DM960UZ', 'marrone', 2000, 'Automatico', 52894),
(123, 'BMW', 'JI168HT', 'arancione', 2400, 'Manuale', 38976),
(124, 'BMW', 'SN158YN', 'giallo', 1800, 'Automatico', 17569),
(125, 'Mercedes', 'EO779ZQ', 'viola', 2000, 'Automatico', 17370),
(126, 'BMW', 'IE709DV', 'arancione', 1400, 'Automatico', 15921),
(127, 'Audi', 'LJ328LH', 'arancione', 1200, 'Automatico', 10261),
(128, 'BMW', 'HA886HP', 'verde', 2000, 'Automatico', 11182),
(129, 'Mercedes', 'QS691OA', 'viola', 1200, 'Manuale', 35054),
(130, 'Mercedes', 'BG513CG', 'verde', 1200, 'Manuale', 19262),
(131, 'Mercedes', 'JS663FT', 'rosso', 2200, 'Automatico', 29835),
(132, 'BMW', 'PK602YD', 'grigio', 1800, 'Manuale', 52648),
(133, 'Mercedes', 'LF475WO', 'viola', 1200, 'Manuale', 19483),
(134, 'Mercedes', 'VU964WY', 'arancione', 2000, 'Manuale', 77639),
(135, 'Audi', 'KG197FH', 'verde', 2400, 'Manuale', 32540),
(136, 'Audi', 'UL250IN', 'giallo', 2000, 'Manuale', 51665),
(137, 'Audi', 'TR330QC', 'giallo', 2200, 'Manuale', 57220),
(138, 'Audi', 'FZ416IG', 'marrone', 2200, 'Automatico', 12861),
(139, 'Mercedes', 'JW646IN', 'arancione', 1600, 'Automatico', 42345),
(140, 'Toyota', 'OZ730UR', 'viola', 2000, 'Automatico', 23592),
(141, 'Toyota', 'XN768DR', 'arancione', 2000, 'Manuale', 15820),
(142, 'Mercedes', 'NU545GQ', 'grigio', 2600, 'Automatico', 70395),
(143, 'Toyota', 'HT583EB', 'nero', 1800, 'Manuale', 14357),
(144, 'Audi', 'LU532KN', 'rosa', 2400, 'Automatico', 10936),
(145, 'Audi', 'ZK306BS', 'arancione', 1600, 'Manuale', 56246),
(146, 'BMW', 'DF387JO', 'verde', 1800, 'Automatico', 33895),
(147, 'Mercedes', 'HG226LN', 'verde', 1400, 'Automatico', 16479),
(148, 'Audi', 'ET513XN', 'rosso', 1200, 'Automatico', 30045),
(149, 'Mercedes', 'JI298OQ', 'nero', 2200, 'Manuale', 60943),
(150, 'Mercedes', 'LJ295FN', 'blu', 2000, 'Manuale', 37513),
(151, 'Toyota', 'RI563KN', 'marrone', 1200, 'Manuale', 11398),
(152, 'BMW', 'CD265WO', 'giallo', 1200, 'Automatico', 34968),
(153, 'Toyota', 'BJ688VT', 'rosa', 1800, 'Automatico', 31518),
(154, 'Toyota', 'LW848ID', 'marrone', 2600, 'Automatico', 32001),
(155, 'BMW', 'VI814UE', 'grigio', 1800, 'Automatico', 63974),
(156, 'Audi', 'RY655HS', 'rosa', 1600, 'Automatico', 56556),
(157, 'Mercedes', 'LN188DZ', 'viola', 2200, 'Automatico', 48980),
(158, 'Mercedes', 'XH639CM', 'grigio', 2200, 'Automatico', 57588),
(159, 'BMW', 'IE679NT', 'arancione', 1400, 'Automatico', 59217),
(160, 'Toyota', 'JC183RU', 'marrone', 2600, 'Manuale', 72986),
(161, 'Audi', 'DK812GD', 'giallo', 2400, 'Automatico', 33334),
(162, 'Audi', 'UK826QV', 'viola', 1400, 'Manuale', 19121),
(163, 'BMW', 'GI970IR', 'verde', 2600, 'Manuale', 16769),
(164, 'Toyota', 'PO158GB', 'verde', 2600, 'Automatico', 71788),
(165, 'Audi', 'LB771HL', 'nero', 1800, 'Automatico', 51902),
(166, 'Audi', 'IO701IE', 'arancione', 2400, 'Automatico', 52382),
(167, 'BMW', 'QM242XA', 'nero', 2600, 'Manuale', 34739),
(168, 'Audi', 'IK818AE', 'rosso', 2400, 'Automatico', 53865),
(169, 'BMW', 'HC900CO', 'nero', 2200, 'Automatico', 37133),
(170, 'BMW', 'FR639WG', 'verde', 1200, 'Automatico', 75615),
(171, 'Toyota', 'VX486DC', 'verde', 1800, 'Automatico', 39174),
(172, 'Toyota', 'EN278LS', 'nero', 1800, 'Automatico', 61155),
(173, 'Toyota', 'KH878LG', 'grigio', 2200, 'Manuale', 69856),
(174, 'Audi', 'MN390HQ', 'viola', 1600, 'Automatico', 45796),
(175, 'Audi', 'SP742NX', 'rosa', 1400, 'Manuale', 29619),
(176, 'BMW', 'QG887PZ', 'rosa', 1400, 'Manuale', 16609),
(177, 'Mercedes', 'FG553HE', 'rosa', 1800, 'Automatico', 34730),
(178, 'Mercedes', 'TQ748NA', 'verde', 2600, 'Manuale', 47170),
(179, 'BMW', 'KS527AT', 'nero', 2600, 'Automatico', 25936),
(180, 'Audi', 'ZJ920HZ', 'arancione', 2000, 'Manuale', 16628),
(181, 'Audi', 'XD404DX', 'blu', 2600, 'Automatico', 33886),
(182, 'Toyota', 'KP671HW', 'viola', 2400, 'Manuale', 12108),
(183, 'Toyota', 'OM827HR', 'rosa', 1800, 'Automatico', 30372),
(184, 'Toyota', 'SJ109XA', 'nero', 2000, 'Automatico', 17248),
(185, 'Audi', 'NM169OA', 'nero', 1800, 'Manuale', 30641),
(186, 'Audi', 'EZ977OQ', 'nero', 1400, 'Manuale', 48190),
(187, 'Mercedes', 'JS363ST', 'marrone', 2400, 'Automatico', 76237),
(188, 'Mercedes', 'MQ598LC', 'giallo', 2400, 'Automatico', 40742),
(189, 'Toyota', 'KK824AD', 'marrone', 1600, 'Manuale', 24935),
(190, 'BMW', 'DR521HO', 'giallo', 1400, 'Manuale', 10972),
(191, 'Toyota', 'GL412MG', 'arancione', 1400, 'Automatico', 57459),
(192, 'BMW', 'UK701MT', 'blu', 2000, 'Automatico', 38268),
(193, 'BMW', 'FE498KW', 'giallo', 1400, 'Manuale', 56114),
(194, 'BMW', 'IV211WE', 'giallo', 2200, 'Automatico', 63915),
(195, 'Audi', 'MW682VW', 'viola', 2400, 'Manuale', 52907),
(196, 'Mercedes', 'KU947BP', 'viola', 2400, 'Manuale', 70447),
(197, 'Toyota', 'EL589QA', 'verde', 2600, 'Manuale', 69424),
(198, 'Toyota', 'CE621QC', 'verde', 2200, 'Manuale', 25619),
(199, 'Toyota', 'KU843BU', 'blu', 1200, 'Automatico', 58463),
(200, 'BMW', 'TX146TU', 'verde', 2000, 'Manuale', 28508),
(201, 'BMW', 'VH931UJ', 'verde', 1400, 'Manuale', 38040),
(202, 'BMW', 'PJ325RO', 'grigio', 2000, 'Automatico', 55400),
(203, 'Audi', 'ZR124EV', 'marrone', 2200, 'Manuale', 68908),
(204, 'Toyota', 'FY444UZ', 'nero', 2200, 'Automatico', 41088),
(205, 'Audi', 'AY860VI', 'grigio', 1800, 'Manuale', 52608),
(206, 'Toyota', 'DH165YG', 'rosso', 2400, 'Automatico', 18602),
(207, 'Audi', 'IH499XS', 'viola', 1400, 'Automatico', 30143),
(208, 'BMW', 'LL611PS', 'blu', 1800, 'Manuale', 76381),
(209, 'Audi', 'TO432PV', 'arancione', 1600, 'Automatico', 19515),
(210, 'Mercedes', 'YW672TK', 'verde', 2600, 'Manuale', 57388),
(211, 'Toyota', 'TI905FY', 'blu', 1400, 'Manuale', 53205),
(212, 'Toyota', 'GD767AJ', 'viola', 1200, 'Automatico', 60451),
(213, 'Audi', 'HD740JM', 'grigio', 2200, 'Manuale', 52458),
(214, 'Audi', 'OE981HM', 'viola', 1600, 'Automatico', 31112),
(215, 'BMW', 'CJ112TE', 'arancione', 2400, 'Manuale', 45024),
(216, 'Audi', 'HG858RR', 'verde', 2400, 'Manuale', 38957),
(217, 'Mercedes', 'ZB478KR', 'marrone', 2600, 'Automatico', 65598),
(218, 'BMW', 'NN537QE', 'nero', 1400, 'Automatico', 20162),
(219, 'Toyota', 'RT437MV', 'rosso', 1600, 'Manuale', 55107),
(220, 'Toyota', 'PW744UQ', 'rosa', 2000, 'Manuale', 53731),
(221, 'Audi', 'KQ457NJ', 'viola', 1600, 'Manuale', 32595),
(222, 'Mercedes', 'RZ648FG', 'blu', 2000, 'Automatico', 31298),
(223, 'Mercedes', 'MC103HW', 'viola', 1400, 'Manuale', 23472),
(224, 'Mercedes', 'WY984SJ', 'rosa', 1600, 'Manuale', 46890),
(225, 'Audi', 'GK721WB', 'grigio', 1200, 'Automatico', 68057),
(226, 'Mercedes', 'YP180ZB', 'marrone', 2400, 'Manuale', 57371),
(227, 'Mercedes', 'UK536ZE', 'marrone', 2400, 'Automatico', 35666),
(228, 'BMW', 'CR607WP', 'viola', 1200, 'Manuale', 10140),
(229, 'BMW', 'HN141AE', 'viola', 1400, 'Automatico', 75222),
(230, 'BMW', 'NX737VD', 'arancione', 1400, 'Manuale', 24041),
(231, 'Mercedes', 'MI247YE', 'marrone', 2600, 'Automatico', 26941),
(232, 'BMW', 'HE121EZ', 'rosa', 2200, 'Automatico', 34504),
(233, 'BMW', 'EO417BC', 'verde', 2600, 'Automatico', 39889),
(234, 'Toyota', 'RM982CC', 'viola', 2600, 'Automatico', 11779),
(235, 'Toyota', 'ZR426HA', 'verde', 2400, 'Automatico', 69268),
(236, 'Mercedes', 'IR777ER', 'blu', 1400, 'Automatico', 59395),
(237, 'Toyota', 'KC615EP', 'marrone', 2200, 'Manuale', 44918),
(238, 'Mercedes', 'QG101IL', 'nero', 1200, 'Manuale', 34878),
(239, 'Audi', 'BV665BI', 'viola', 2000, 'Manuale', 13096),
(240, 'BMW', 'GJ920IZ', 'giallo', 2600, 'Automatico', 14363),
(241, 'Mercedes', 'KG301UE', 'grigio', 2600, 'Manuale', 69349),
(242, 'BMW', 'SR230AL', 'rosa', 2200, 'Automatico', 71596),
(243, 'Toyota', 'IG854GR', 'rosso', 1800, 'Automatico', 60338),
(244, 'BMW', 'WI738IA', 'rosso', 1200, 'Automatico', 65782),
(245, 'BMW', 'PC819PT', 'rosso', 2000, 'Automatico', 49456),
(246, 'BMW', 'PB833HV', 'verde', 1800, 'Manuale', 59176),
(247, 'BMW', 'HX139HK', 'arancione', 2400, 'Automatico', 22070),
(248, 'Audi', 'YT318TZ', 'arancione', 2400, 'Automatico', 33948),
(249, 'BMW', 'DY414SO', 'arancione', 1800, 'Automatico', 71375),
(250, 'BMW', 'ZN310DA', 'viola', 1600, 'Automatico', 66221),
(251, 'BMW', 'OS859NI', 'blu', 2400, 'Automatico', 49943),
(252, 'Mercedes', 'PP927IW', 'verde', 2400, 'Automatico', 34487),
(253, 'Toyota', 'OO803UF', 'grigio', 2600, 'Automatico', 11080),
(254, 'Audi', 'FK877WQ', 'nero', 2200, 'Manuale', 48568),
(255, 'Mercedes', 'PG286TZ', 'giallo', 1400, 'Automatico', 44701),
(256, 'Mercedes', 'QW362OV', 'verde', 1200, 'Manuale', 10919),
(257, 'BMW', 'UX948ZJ', 'viola', 2600, 'Automatico', 54395),
(258, 'BMW', 'CU815QW', 'rosa', 1600, 'Manuale', 66012),
(259, 'Audi', 'ZD214SB', 'rosso', 2600, 'Manuale', 45570),
(260, 'BMW', 'DU772GE', 'viola', 1200, 'Automatico', 58809),
(261, 'Mercedes', 'TS781SU', 'viola', 2600, 'Automatico', 55984),
(262, 'Mercedes', 'LD641HB', 'rosso', 2200, 'Automatico', 24469),
(263, 'Audi', 'HU719HF', 'viola', 2200, 'Automatico', 13053),
(264, 'BMW', 'PO785NR', 'nero', 2400, 'Manuale', 19655),
(265, 'Toyota', 'GF157PN', 'marrone', 2200, 'Automatico', 55678),
(266, 'BMW', 'YP673FW', 'rosa', 1600, 'Automatico', 39602),
(267, 'Mercedes', 'CB905EW', 'viola', 2200, 'Manuale', 60747),
(268, 'BMW', 'YZ728BU', 'marrone', 1200, 'Manuale', 39751),
(269, 'Toyota', 'MI610PI', 'arancione', 1400, 'Manuale', 31424),
(270, 'BMW', 'AC663GH', 'rosso', 2200, 'Automatico', 49485),
(271, 'Toyota', 'CU861WX', 'arancione', 1400, 'Manuale', 27936),
(272, 'Audi', 'PC894UB', 'marrone', 1600, 'Manuale', 20155),
(273, 'Toyota', 'HJ710DI', 'grigio', 1400, 'Automatico', 43892),
(274, 'Mercedes', 'DU257FP', 'viola', 1200, 'Automatico', 13051),
(275, 'Toyota', 'RR134BE', 'grigio', 1200, 'Manuale', 25647),
(276, 'Audi', 'EM800VI', 'rosa', 1400, 'Automatico', 70054),
(277, 'Toyota', 'YQ407IR', 'blu', 2400, 'Automatico', 78844),
(278, 'Mercedes', 'QX381NT', 'giallo', 1800, 'Manuale', 57656),
(279, 'Audi', 'RY665NG', 'giallo', 1800, 'Manuale', 28320),
(280, 'Mercedes', 'JA566NE', 'marrone', 2200, 'Manuale', 36266),
(281, 'Toyota', 'YM477ES', 'nero', 1800, 'Automatico', 76668),
(282, 'BMW', 'EC567TN', 'grigio', 1400, 'Manuale', 23727),
(283, 'Toyota', 'YU450BZ', 'rosa', 2200, 'Automatico', 61252),
(284, 'Toyota', 'DV643OQ', 'giallo', 2000, 'Manuale', 44074),
(285, 'BMW', 'OI995YP', 'rosa', 2000, 'Automatico', 73296),
(286, 'Audi', 'GW511KM', 'verde', 1800, 'Manuale', 68883),
(287, 'Mercedes', 'GQ790ZC', 'marrone', 1600, 'Manuale', 51233),
(288, 'Toyota', 'QF846IW', 'rosa', 2400, 'Automatico', 28159),
(289, 'Toyota', 'ZN288YE', 'arancione', 1600, 'Automatico', 35967),
(290, 'BMW', 'PE555HC', 'marrone', 1400, 'Manuale', 48592),
(291, 'BMW', 'AZ165FW', 'viola', 1400, 'Automatico', 56472),
(292, 'BMW', 'FV270AK', 'giallo', 2000, 'Manuale', 75511),
(293, 'Audi', 'FS303UB', 'nero', 2400, 'Automatico', 16924),
(294, 'BMW', 'XH878XL', 'verde', 1400, 'Automatico', 14932),
(295, 'Mercedes', 'QM251PR', 'grigio', 2000, 'Automatico', 77264),
(296, 'BMW', 'FS251AM', 'marrone', 2600, 'Automatico', 58353),
(297, 'BMW', 'TM114KH', 'viola', 2200, 'Manuale', 63950),
(298, 'BMW', 'HL867HO', 'nero', 1400, 'Automatico', 35865),
(299, 'Toyota', 'YM582ZJ', 'verde', 1600, 'Automatico', 27341),
(300, 'BMW', 'AH316ID', 'viola', 1600, 'Manuale', 52394),
(301, 'Mercedes', 'PX688CX', 'blu', 2000, 'Automatico', 11238),
(302, 'BMW', 'LP706JO', 'rosa', 2600, 'Manuale', 15011),
(303, 'BMW', 'SC302FU', 'marrone', 2000, 'Automatico', 71112),
(304, 'Audi', 'RP302IV', 'viola', 2200, 'Automatico', 68548),
(305, 'BMW', 'KL401XF', 'nero', 2400, 'Automatico', 76631),
(306, 'Mercedes', 'EW269UZ', 'arancione', 2400, 'Manuale', 22128),
(307, 'BMW', 'AE299LT', 'rosa', 2400, 'Automatico', 77859),
(308, 'BMW', 'WK244KR', 'giallo', 1400, 'Automatico', 27125),
(309, 'Toyota', 'CA230RB', 'blu', 1600, 'Automatico', 72589),
(310, 'Toyota', 'XY199ZK', 'giallo', 2200, 'Manuale', 73358),
(311, 'Mercedes', 'KD673TV', 'verde', 2400, 'Manuale', 40284),
(312, 'Toyota', 'MJ749RZ', 'viola', 1200, 'Automatico', 27683),
(313, 'Toyota', 'TJ825EK', 'marrone', 1600, 'Automatico', 12043),
(314, 'Toyota', 'ZR883GN', 'rosa', 2000, 'Manuale', 64353),
(315, 'Toyota', 'YG583EV', 'rosa', 2600, 'Manuale', 18670),
(316, 'Mercedes', 'EZ217JC', 'rosa', 2200, 'Automatico', 10073),
(317, 'Mercedes', 'NG857RJ', 'rosso', 2200, 'Manuale', 45900),
(318, 'Audi', 'AJ317QD', 'blu', 2000, 'Automatico', 59122),
(319, 'Audi', 'RD571ZM', 'blu', 1200, 'Manuale', 43215),
(320, 'Audi', 'IE255UR', 'blu', 1400, 'Manuale', 61482),
(321, 'Mercedes', 'MA335YF', 'rosa', 1200, 'Manuale', 15426),
(322, 'Mercedes', 'MG555EO', 'giallo', 1600, 'Automatico', 22746),
(323, 'Audi', 'GU847MJ', 'viola', 1200, 'Manuale', 15364),
(324, 'Toyota', 'JF490EU', 'verde', 1400, 'Manuale', 55137),
(325, 'Audi', 'WV774GD', 'viola', 1800, 'Manuale', 26078),
(326, 'BMW', 'CK255JP', 'rosso', 2600, 'Automatico', 20173),
(327, 'BMW', 'LL566JP', 'rosa', 2200, 'Manuale', 26837),
(328, 'BMW', 'PY203EG', 'rosso', 2200, 'Manuale', 10927),
(329, 'Mercedes', 'RM941SG', 'verde', 1800, 'Automatico', 44184),
(330, 'Toyota', 'HV543EJ', 'blu', 2400, 'Automatico', 58869),
(331, 'Audi', 'JV127HJ', 'verde', 2000, 'Manuale', 46604),
(332, 'Toyota', 'TG743AO', 'blu', 2600, 'Manuale', 14128),
(333, 'Audi', 'YR442JB', 'giallo', 2600, 'Manuale', 54830),
(334, 'Mercedes', 'VB184LY', 'verde', 1200, 'Automatico', 24104),
(335, 'BMW', 'PU143OA', 'rosa', 2200, 'Automatico', 45979),
(336, 'Toyota', 'WF732NA', 'arancione', 2200, 'Automatico', 39316),
(337, 'Toyota', 'JT307AV', 'blu', 1800, 'Manuale', 24768),
(338, 'Mercedes', 'TP640QR', 'rosa', 2200, 'Manuale', 14144),
(339, 'Mercedes', 'OL494SA', 'blu', 2600, 'Manuale', 62307),
(340, 'Audi', 'LJ425FX', 'nero', 2200, 'Automatico', 42312),
(341, 'Mercedes', 'LB676FX', 'nero', 2000, 'Automatico', 15246),
(342, 'Toyota', 'QS132PS', 'rosso', 2200, 'Manuale', 69391),
(343, 'Mercedes', 'WV513VK', 'rosso', 1400, 'Manuale', 63577),
(344, 'Audi', 'YY245WU', 'arancione', 2600, 'Manuale', 51450),
(345, 'Toyota', 'EA183BA', 'marrone', 2400, 'Automatico', 48467),
(346, 'Mercedes', 'NT745UM', 'rosso', 2600, 'Manuale', 22673),
(347, 'BMW', 'NL237PX', 'viola', 2400, 'Manuale', 10748),
(348, 'Toyota', 'NC464LP', 'viola', 1800, 'Manuale', 66532),
(349, 'Mercedes', 'MQ627XU', 'blu', 2200, 'Automatico', 39291),
(350, 'BMW', 'SW812CJ', 'giallo', 1600, 'Manuale', 65258),
(351, 'BMW', 'LT569VN', 'blu', 1800, 'Automatico', 33655),
(352, 'Toyota', 'EE104RS', 'nero', 2600, 'Automatico', 33722),
