(1, 'Mercedes', 'CJ842SJ', 'grigio', 2000, 'Automatico', 34865),
(57, 'Audi', 'GQ826MJ', 'rosso', 1400, 'Manuale', 22825),
(58, 'Audi', 'YT609KS', 'rosa', 2600, 'Manuale', 22849),
(59, 'Toyota', 'MZ318JT', 'giallo', 2200, 'Automatico', 30552),
(60, 'Mercedes', 'MP674UP', 'giallo', 2200, 'Manuale', 21320),
(61, 'Mercedes', 'TM398YC', 'marrone', 2400, 'Automatico', 36675),
(62, 'Toyota', 'LX469LW', 'marrone', 1400, 'Automatico', 36870),
(63, 'Audi', 'WP360PI', 'rosa', 2400, 'Automatico', 34151),
(64, 'Toyota', 'YT221XI', 'blu', 1200, 'Automatico', 13439),
(65, 'Toyota', 'FM956NW', 'verde', 1800, 'Manuale', 12793),
(66, 'Toyota', 'WS650ZL', 'arancione', 1800, 'Manuale', 12338),
(67, 'Mercedes', 'AE373VZ', 'nero', 1600, 'Manuale', 24707),
(68, 'Mercedes', 'ZQ378JE', 'rosso', 1800, 'Automatico', 22992),
(69, 'Toyota', 'JD857ZQ', 'verde', 1600, 'Automatico', 14054),
(70, 'BMW', 'JE452ZO', 'verde', 1800, 'Manuale', 20806),
(71, 'Mercedes', 'VG522RK', 'viola', 1400, 'Manuale', 31581),
(72, 'BMW', 'CD405JX', 'rosso', 2000, 'Automatico', 7079),
(73, 'BMW', 'MF490CW', 'nero', 2200, 'Automatico', 20211),
(74, 'Toyota', 'XW990DH', 'nero', 1400, 'Manuale', 16650),
(75, 'BMW', 'RB952JO', 'viola', 1800, 'Manuale', 14840),
(76, 'Mercedes', 'II972CA', 'rosso', 2200, 'Automatico', 15239),
(77, 'Audi', 'NQ862LC', 'marrone', 2600, 'Manuale', 34650),
(78, 'Mercedes', 'FJ206IP', 'arancione', 2200, 'Manuale', 26790),
(79, 'Mercedes', 'ZH638MM', 'giallo', 1600, 'Manuale', 6222),
(80, 'Mercedes', 'IO246IC', 'giallo', 1200, 'Automatico', 17796),
(81, 'Audi', 'HE806VH', 'rosa', 1600, 'Automatico', 2804),
(82, 'Audi', 'XH718CB', 'grigio', 1400, 'Automatico', 18997),
(83, 'BMW', 'ZR994JX', 'nero', 2200, 'Automatico', 7309),
(84, 'Mercedes', 'QM550HB', 'giallo', 2600, 'Automatico', 6782),
(85, 'Audi', 'CV742BW', 'viola', 2000, 'Manuale', 23212),
(86, 'Mercedes', 'XM890PD', 'nero', 2600, 'Manuale', 21628),
(87, 'Mercedes', 'BP655QV', 'giallo', 1800, 'Automatico', 6140),
(88, 'Audi', 'JV900MX', 'rosso', 1400, 'Manuale', 5369),
(89, 'Audi', 'GA940KS', 'verde', 1200, 'Manuale', 17414),
(90, 'BMW', 'JI500OO', 'viola', 2200, 'Manuale', 19749),
(91, 'Audi', 'HP685IA', 'nero', 1200, 'Automatico', 22389),
(92, 'Toyota', 'MH970XE', 'rosso', 1800, 'Manuale', 23242),
(93, 'Mercedes', 'GB666ZU', 'rosa', 1400, 'Manuale', 22777),
(94, 'Audi', 'GX475QI', 'viola', 2400, 'Automatico', 22193),
(95, 'Audi', 'PF762BP', 'grigio', 1400, 'Automatico', 28132),
(96, 'BMW', 'KM718JY', 'marrone', 1200, 'Manuale', 4813),
(97, 'BMW', 'SW877JQ', 'grigio', 2400, 'Automatico', 30011),
(98, 'Mercedes', 'AB551HZ', 'marrone', 2000, 'Automatico', 34613),
(99, 'Audi', 'KN701LG', 'verde', 1800, 'Manuale', 32330),
(100, 'BMW', 'AU368GU', 'arancione', 1600, 'Manuale', 15790),
(101, 'Mercedes', 'KN682QV', 'blu', 1800, 'Manuale', 38720),
(102, 'BMW', 'ZC201LL', 'nero', 2200, 'Automatico', 38345),
(103, 'Audi', 'RB255PO', 'giallo', 2200, 'Automatico', 27108),
(104, 'BMW', 'EP354XX', 'grigio', 2600, 'Manuale', 38684),
(105, 'BMW', 'HN227CX', 'viola', 1600, 'Automatico', 8228),
(106, 'Toyota', 'OW494ZC', 'nero', 2200, 'Manuale', 27655),
(107, 'Mercedes', 'CB433DJ', 'rosa', 1400, 'Automatico', 27782),
(108, 'Toyota', 'YN376EM', 'nero', 2200, 'Automatico', 23840),
(109, 'Mercedes', 'GQ374RE', 'verde', 2200, 'Manuale', 16937),
(110, 'Audi', 'DM805JE', 'rosso', 2000, 'Automatico', 28272),
(111, 'Toyota', 'ZH742YT', 'giallo', 1600, 'Manuale', 12340),
(112, 'BMW', 'RM612MQ', 'viola', 2600, 'Automatico', 21090),
(113, 'Toyota', 'YO100XB', 'blu', 2000, 'Manuale', 28141),
(114, 'Toyota', 'ZL714DL', 'viola', 1400, 'Manuale', 8944),
(115, 'Mercedes', 'XC250JE', 'nero', 1600, 'Automatico', 24009),
(116, 'Mercedes', 'WA599MU', 'marrone', 2000, 'Manuale', 4270),
(117, 'Mercedes', 'JD218JX', 'blu', 1200, 'Automatico', 22358),
(118, 'Mercedes', 'RI493RY', 'arancione', 2200, 'Manuale', 18541),
(119, 'Mercedes', 'LA915LX', 'arancione', 1200, 'Automatico', 18706),
(120, 'Audi', 'WM968MY', 'arancione', 1400, 'Manuale', 22538),
(121, 'BMW', 'EH782ON', 'blu', 2000, 'Manuale', 21133),
(122, 'Mercedes', 'PN449DU', 'viola', 1400, 'Automatico', 7911),
(123, 'Mercedes', 'EI592HQ', 'verde', 2600, 'Manuale', 22088),
(124, 'Audi', 'FW318CF', 'rosso', 2400, 'Manuale', 11789),
(125, 'Toyota', 'GP208ZK', 'verde', 1400, 'Automatico', 25012),
(126, 'Mercedes', 'JD654BG', 'marrone', 1800, 'Manuale', 20625),
(127, 'Audi', 'IZ921DJ', 'blu', 2600, 'Manuale', 2860),
(128, 'BMW', 'HT406BK', 'giallo', 2000, 'Automatico', 11058),
(129, 'Mercedes', 'CU198WY', 'arancione', 2400, 'Manuale', 27388),
(130, 'Mercedes', 'RO244YE', 'blu', 2600, 'Automatico', 12106),
(131, 'Mercedes', 'MB938AE', 'nero', 1400, 'Automatico', 12279),
(132, 'BMW', 'SB227VC', 'arancione', 1800, 'Automatico', 30652),
(133, 'Audi', 'DH706FH', 'rosso', 1200, 'Manuale', 11385),
(134, 'Toyota', 'AF442WB', 'giallo', 1600, 'Manuale', 22956),
(135, 'BMW', 'MB674MW', 'nero', 2200, 'Automatico', 4228),
(136, 'BMW', 'GB924CQ', 'arancione', 1400, 'Manuale', 32837),
(137, 'BMW', 'UQ133LO', 'marrone', 2000, 'Manuale', 26604),
(138, 'Mercedes', 'YY674FI', 'rosa', 2200, 'Automatico', 37720),
(139, 'Mercedes', 'OT874QD', 'blu', 1600, 'Automatico', 39924),
(140, 'Toyota', 'KK770YL', 'arancione', 2200, 'Automatico', 19822),
(141, 'BMW', 'KV580EN', 'rosa', 2000, 'Manuale', 14452),
(142, 'Audi', 'VA364NF', 'giallo', 2000, 'Automatico', 28470),
(143, 'Mercedes', 'ZZ717TL', 'nero', 1600, 'Manuale', 7176),
(144, 'Mercedes', 'DD394MM', 'marrone', 2600, 'Manuale', 32324),
(145, 'Mercedes', 'VB971GV', 'rosa', 1600, 'Manuale', 24273),
(146, 'Audi', 'RY650CU', 'giallo', 2400, 'Automatico', 14369),
(147, 'Audi', 'DR835NI', 'blu', 2400, 'Manuale', 19059),
(148, 'BMW', 'FW969KJ', 'verde', 1600, 'Automatico', 30702),
(149, 'Toyota', 'LQ653NQ', 'arancione', 1200, 'Manuale', 5325),
(150, 'Audi', 'FU361SE', 'rosa', 2000, 'Automatico', 4720),
(151, 'Mercedes', 'QK222BN', 'verde', 2200, 'Automatico', 28993),
(152, 'Mercedes', 'PI172AL', 'nero', 1400, 'Automatico', 7178),
(153, 'Toyota', 'MB913CR', 'nero', 1800, 'Manuale', 14979),
(154, 'Toyota', 'SB762PJ', 'verde', 1200, 'Manuale', 17687),
(155, 'Mercedes', 'OG742DB', 'verde', 1400, 'Manuale', 28891),
(156, 'Audi', 'WJ951IP', 'marrone', 2400, 'Manuale', 22836),
(157, 'Toyota', 'VF101YS', 'blu', 2000, 'Automatico', 35659),
(158, 'Toyota', 'NH803HK', 'giallo', 2000, 'Manuale', 3224),
(159, 'Toyota', 'MI354QK', 'grigio', 2400, 'Manuale', 19894),
(160, 'Mercedes', 'GQ516TI', 'grigio', 2000, 'Automatico', 37802),
(161, 'BMW', 'XK373AU', 'grigio', 2600, 'Manuale', 33642),
(162, 'Toyota', 'ZG365VM', 'arancione', 2000, 'Automatico', 11167),
(163, 'BMW', 'OI476UD', 'grigio', 1600, 'Manuale', 36195),
(164, 'BMW', 'TT631WR', 'verde', 1600, 'Manuale', 4561),
(165, 'Mercedes', 'RA591JJ', 'nero', 1800, 'Automatico', 9378),
(166, 'BMW', 'SA195RR', 'nero', 1400, 'Automatico', 29272),
(167, 'BMW', 'SW934JK', 'grigio', 1800, 'Automatico', 22858),
(168, 'BMW', 'XL339TL', 'giallo', 1800, 'Manuale', 39974),
(169, 'BMW', 'LC765GE', 'marrone', 1200, 'Manuale', 25657),
(170, 'Mercedes', 'OM915NI', 'rosa', 1800, 'Manuale', 18249),
(171, 'Mercedes', 'TZ508VH', 'blu', 1600, 'Manuale', 7507),
(172, 'BMW', 'YW273HB', 'giallo', 2200, 'Automatico', 16751),
(173, 'Audi', 'RT335AM', 'rosa', 2600, 'Automatico', 19134),
(174, 'Mercedes', 'WN585AP', 'verde', 1600, 'Automatico', 19743),
(175, 'Audi', 'ST460MP', 'blu', 1400, 'Automatico', 35854),
(176, 'Audi', 'AZ823LU', 'giallo', 2600, 'Manuale', 19462),
(177, 'BMW', 'OE606HE', 'rosa', 1800, 'Manuale', 26203),
(178, 'Mercedes', 'NV722MO', 'marrone', 2000, 'Automatico', 3055),
(179, 'Audi', 'ZA959AM', 'grigio', 1600, 'Manuale', 8060),
(180, 'Audi', 'ZT759EB', 'grigio', 2400, 'Automatico', 29057),
(181, 'BMW', 'LW318UK', 'rosso', 2200, 'Automatico', 23877),
(182, 'Audi', 'LQ244HI', 'viola', 1800, 'Automatico', 7515),
(183, 'Audi', 'HD561LJ', 'marrone', 1600, 'Manuale', 12239),
(184, 'Mercedes', 'MG374ZL', 'viola', 1800, 'Manuale', 36697),
(185, 'BMW', 'SA147ZS', 'rosso', 1200, 'Manuale', 27512),
(186, 'Toyota', 'AF327QL', 'grigio', 1200, 'Automatico', 34006),
(187, 'Toyota', 'AJ561TR', 'giallo', 1400, 'Automatico', 11536),
(188, 'Toyota', 'NH679DB', 'giallo', 2000, 'Automatico', 27617),
(189, 'Toyota', 'AJ940PJ', 'giallo', 1200, 'Manuale', 18189),
(190, 'Toyota', 'CV729AN', 'verde', 2400, 'Automatico', 13375),
(191, 'Toyota', 'LW369GN', 'blu', 1800, 'Manuale', 2801),
(192, 'BMW', 'AL513LA', 'nero', 2000, 'Automatico', 6495),
(193, 'Audi', 'QT100GM', 'rosso', 2000, 'Automatico', 35061),
(194, 'BMW', 'SV569VY', 'arancione', 2400, 'Manuale', 35206),
(195, 'Toyota', 'PX371QF', 'marrone', 1800, 'Manuale', 27707),
(196, 'Mercedes', 'YD499SF', 'verde', 2000, 'Manuale', 24463),
(197, 'BMW', 'HU984NX', 'giallo', 2600, 'Manuale', 30696),
(198, 'Toyota', 'XC347HV', 'arancione', 2200, 'Automatico', 8792),
(199, 'BMW', 'PD844RS', 'verde', 1400, 'Automatico', 12311),
(200, 'Audi', 'YG672GM', 'verde', 2200, 'Automatico', 4919),
(201, 'Audi', 'IP481YQ', 'blu', 1200, 'Manuale', 20773),
(202, 'Toyota', 'QT541RP', 'viola', 1400, 'Manuale', 9598),
(203, 'Mercedes', 'IR769WI', 'grigio', 1600, 'Manuale', 27709),
(204, 'Audi', 'CR229RU', 'grigio', 2000, 'Manuale', 8134),
(205, 'BMW', 'AW892UX', 'rosa', 2600, 'Manuale', 5196),
(206, 'Audi', 'UO265UO', 'blu', 2000, 'Automatico', 37748),
(207, 'Toyota', 'OL296OU', 'rosso', 1600, 'Manuale', 31045),
(208, 'BMW', 'BQ469JM', 'giallo', 2200, 'Automatico', 15324),
(209, 'Toyota', 'NH343DP', 'verde', 2000, 'Automatico', 16925),
(210, 'Audi', 'PY490YZ', 'arancione', 1600, 'Manuale', 7450),
(211, 'BMW', 'ZX301BA', 'verde', 1800, 'Automatico', 38471),
(212, 'Audi', 'JH492JS', 'nero', 1200, 'Manuale', 17243),
(213, 'Mercedes', 'SP224CL', 'blu', 2400, 'Automatico', 18969),
(214, 'Audi', 'IR330MP', 'rosa', 2400, 'Manuale', 10451),
(215, 'Toyota', 'VM644ZP', 'nero', 2200, 'Manuale', 17051),
(216, 'BMW', 'VN461LJ', 'marrone', 1200, 'Manuale', 32874),
(217, 'Mercedes', 'NU443OL', 'rosa', 2400, 'Automatico', 29249),
(218, 'Toyota', 'YZ167DV', 'blu', 1800, 'Manuale', 17380),
(219, 'Audi', 'YK771RY', 'blu', 1600, 'Automatico', 14883),
(220, 'Mercedes', 'SV938QA', 'nero', 2000, 'Automatico', 7563),
(221, 'BMW', 'IR576YM', 'verde', 1400, 'Manuale', 22322),
(222, 'Toyota', 'EH632FA', 'rosso', 2000, 'Automatico', 19799),
(223, 'Mercedes', 'DM108QK', 'marrone', 1600, 'Manuale', 2358),
(224, 'Toyota', 'UM563FP', 'grigio', 1800, 'Manuale', 5711),
(225, 'BMW', 'PB362SO', 'rosa', 2000, 'Automatico', 2189),
(226, 'BMW', 'LY512NS', 'marrone', 1400, 'Manuale', 4898),
(227, 'Mercedes', 'PB975OP', 'rosso', 2200, 'Manuale', 15705),
(228, 'Toyota', 'EM681TD', 'viola', 1600, 'Automatico', 12563),
(229, 'BMW', 'PA129KN', 'marrone', 1800, 'Automatico', 32800),
(230, 'Toyota', 'FJ565CZ', 'giallo', 2200, 'Automatico', 3516),
(231, 'BMW', 'YK789XL', 'grigio', 2000, 'Manuale', 9943),
(232, 'Audi', 'ST546HP', 'viola', 1400, 'Manuale', 37539),
(233, 'Mercedes', 'RZ601YP', 'blu', 1600, 'Manuale', 6883),
(234, 'Audi', 'YI554IJ', 'marrone', 1400, 'Automatico', 21784),
(235, 'Toyota', 'IT517XC', 'rosso', 1800, 'Manuale', 37145),
(236, 'Mercedes', 'OC552SY', 'blu', 2200, 'Automatico', 36042),
(237, 'Audi', 'WA187DJ', 'verde', 2200, 'Manuale', 20320),
(238, 'BMW', 'EI827KO', 'rosso', 2000, 'Manuale', 23317),
(239, 'Audi', 'QU405CE', 'rosa', 1400, 'Manuale', 33310),
(240, 'Audi', 'KE742SN', 'rosso', 2000, 'Manuale', 38617),
(241, 'BMW', 'FP555LL', 'rosa', 2000, 'Manuale', 29039),
(242, 'Toyota', 'GY613JP', 'marrone', 2200, 'Manuale', 16297),
(243, 'Toyota', 'YE149JP', 'nero', 2000, 'Manuale', 27092),
(244, 'Mercedes', 'YA444UK', 'nero', 2400, 'Automatico', 20626),
(245, 'Audi', 'BD182KR', 'giallo', 2400, 'Automatico', 27132),
(246, 'BMW', 'EZ594SD', 'rosa', 1800, 'Manuale', 20728),
(247, 'Toyota', 'DT547GP', 'nero', 1600, 'Automatico', 20647),
(248, 'Toyota', 'UP959GT', 'giallo', 1400, 'Manuale', 3012),
(249, 'Audi', 'QQ192ZJ', 'nero', 2400, 'Manuale', 25949),
(250, 'Mercedes', 'UL876TC', 'rosso', 1600, 'Manuale', 8774),
(251, 'BMW', 'TF258LU', 'arancione', 1400, 'Manuale', 22439),
(252, 'Mercedes', 'OX313JU', 'blu', 1400, 'Manuale', 10145),
(253, 'Mercedes', 'NF843RJ', 'grigio', 1800, 'Manuale', 21682),
(254, 'Audi', 'DD739VS', 'rosso', 1400, 'Manuale', 6762),
(255, 'Mercedes', 'GW298ZF', 'giallo', 2400, 'Automatico', 25569),
(256, 'Mercedes', 'MM431UK', 'rosa', 1400, 'Manuale', 28741),
(257, 'Mercedes', 'OR413ET', 'rosa', 2600, 'Automatico', 23710),
(258, 'Toyota', 'ET489QR', 'rosa', 1200, 'Manuale', 3351),
(259, 'Toyota', 'JL582ZJ', 'rosso', 2200, 'Automatico', 12376),
(260, 'Toyota', 'TW706JD', 'marrone', 1800, 'Automatico', 13443),
(261, 'BMW', 'GL558JN', 'rosso', 1400, 'Automatico', 20807),
(262, 'BMW', 'VS255IS', 'grigio', 1800, 'Automatico', 31318),
(263, 'Toyota', 'AL539HP', 'viola', 1600, 'Automatico', 32134),
(264, 'Toyota', 'NA401YL', 'viola', 1200, 'Automatico', 9321),
(265, 'Toyota', 'VZ883BT', 'rosso', 2200, 'Manuale', 12136),
(266, 'Toyota', 'JO622XF', 'arancione', 1400, 'Manuale', 24481),
(267, 'Audi', 'NG158LE', 'rosa', 2400, 'Automatico', 36429),
(268, 'BMW', 'AL278AN', 'rosso', 1600, 'Manuale', 33517),
(269, 'Audi', 'NY537EI', 'nero', 2400, 'Manuale', 22658),
(270, 'Toyota', 'NR781ME', 'giallo', 2400, 'Automatico', 25830),
(271, 'Mercedes', 'XU919JA', 'rosa', 2400, 'Automatico', 4081),
(272, 'BMW', 'UO189JT', 'marrone', 1200, 'Automatico', 28907),
(273, 'Toyota', 'PZ289CB', 'nero', 1800, 'Manuale', 12563),
(274, 'Audi', 'HE773TP', 'blu', 1600, 'Automatico', 36117),
(275, 'Toyota', 'KT477TV', 'marrone', 1400, 'Manuale', 30427),
(276, 'Toyota', 'ZC677OZ', 'marrone', 2000, 'Manuale', 8796),
(277, 'Mercedes', 'LB392HJ', 'viola', 2000, 'Automatico', 17394),
(278, 'BMW', 'GH699QM', 'blu', 1200, 'Automatico', 28500),
(279, 'BMW', 'XO891BP', 'viola', 2200, 'Automatico', 23809),
(280, 'Mercedes', 'XM435GG', 'giallo', 1200, 'Manuale', 35733),
(281, 'Toyota', 'QC280WE', 'blu', 1400, 'Automatico', 21753),
(282, 'Toyota', 'KU643DQ', 'marrone', 2200, 'Manuale', 3222),
(283, 'Mercedes', 'US933PJ', 'marrone', 1200, 'Automatico', 28531),
(284, 'BMW', 'QR793QC', 'blu', 1400, 'Automatico', 38441),
(285, 'Toyota', 'AK449AV', 'giallo', 1400, 'Automatico', 25419),
(286, 'Audi', 'MH656DD', 'marrone', 2600, 'Automatico', 35621),
(287, 'Toyota', 'CC598CQ', 'rosso', 1200, 'Manuale', 20766),
(288, 'Mercedes', 'VY699JH', 'verde', 2000, 'Automatico', 6488),
(289, 'Mercedes', 'ED133IX', 'giallo', 1200, 'Automatico', 11619),
(290, 'Mercedes', 'NI906YQ', 'nero', 2600, 'Manuale', 21015),
(291, 'BMW', 'CK638UR', 'grigio', 2600, 'Manuale', 5868),
(292, 'Audi', 'FE650TX', 'rosa', 1200, 'Automatico', 3315),
(293, 'Audi', 'MI176PP', 'arancione', 2400, 'Automatico', 17862),
(294, 'Mercedes', 'XW297VM', 'nero', 1200, 'Automatico', 35769),
(295, 'Mercedes', 'UI777GX', 'grigio', 1800, 'Automatico', 38066),
(296, 'Toyota', 'OZ785HP', 'rosa', 1600, 'Manuale', 3013),
(297, 'Audi', 'ZB632AX', 'arancione', 1200, 'Automatico', 23594),
(298, 'Audi', 'QY726IQ', 'giallo', 1200, 'Manuale', 11879),
(299, 'BMW', 'BE704YX', 'marrone', 2200, 'Automatico', 15778),
(300, 'Mercedes', 'NR960NX', 'verde', 2600, 'Automatico', 5372),
(301, 'Mercedes', 'ZS824QW', 'verde', 2600, 'Manuale', 20197),
(302, 'Mercedes', 'ZZ248KY', 'blu', 2400, 'Automatico', 32079),
(303, 'Toyota', 'OK500ES', 'rosa', 1200, 'Automatico', 8708),
(304, 'BMW', 'JB414CQ', 'giallo', 2400, 'Automatico', 18611),
(305, 'Toyota', 'AH535BO', 'rosa', 1800, 'Automatico', 39154),
(306, 'Audi', 'PA559PR', 'marrone', 2600, 'Automatico', 2503),
(307, 'Toyota', 'BM900CW', 'verde', 2600, 'Automatico', 12926),
(308, 'Toyota', 'OL112BI', 'rosso', 1400, 'Automatico', 13859),
(309, 'Mercedes', 'OD193GM', 'rosso', 2000, 'Manuale', 18463),
(310, 'Toyota', 'AJ440CQ', 'rosa', 2200, 'Automatico', 33867),
(311, 'Toyota', 'WZ230HA', 'nero', 2400, 'Automatico', 4343),
(312, 'Toyota', 'QB803UL', 'marrone', 1200, 'Automatico', 9212),
(313, 'Toyota', 'TK778XP', 'arancione', 1800, 'Automatico', 28710),
(314, 'Mercedes', 'OV828JN', 'marrone', 1800, 'Manuale', 38882),
(315, 'Toyota', 'SH375NA', 'marrone', 2200, 'Automatico', 18758),
(316, 'BMW', 'VY530FY', 'grigio', 1400, 'Manuale', 32058),
(317, 'Toyota', 'NG927BJ', 'giallo', 2000, 'Manuale', 6778),
(318, 'Audi', 'AU725CQ', 'grigio', 2000, 'Manuale', 2388),
(319, 'Toyota', 'XM531KT', 'rosso', 2200, 'Manuale', 13516),
(320, 'BMW', 'TE184RG', 'rosa', 1600, 'Automatico', 18225),
(321, 'Toyota', 'HZ357KM', 'marrone', 2600, 'Manuale', 21494),
(322, 'Audi', 'EF262GK', 'blu', 1800, 'Manuale', 10067),
(323, 'Audi', 'MC671PQ', 'grigio', 2000, 'Manuale', 35742),
(324, 'Mercedes', 'VR800AA', 'arancione', 1200, 'Automatico', 15008),
(325, 'Toyota', 'FC333TM', 'grigio', 1400, 'Automatico', 5797),
(326, 'Mercedes', 'VM541YI', 'blu', 1200, 'Manuale', 31691),
(327, 'BMW', 'JD658AN', 'rosa', 1800, 'Automatico', 31217),
(328, 'Audi', 'MT482NX', 'rosa', 1600, 'Automatico', 36015),
(329, 'BMW', 'UR186VL', 'blu', 1400, 'Manuale', 32880),
(330, 'Mercedes', 'OM909FY', 'blu', 2000, 'Manuale', 17020),
(331, 'Toyota', 'JT453KA', 'marrone', 1400, 'Automatico', 6356),
(332, 'BMW', 'GO228KP', 'rosso', 2600, 'Automatico', 37159),
(333, 'Audi', 'NK243CQ', 'giallo', 2400, 'Manuale', 35467),
(334, 'Mercedes', 'QW691OE', 'rosa', 2200, 'Automatico', 35874),
(335, 'Audi', 'MN236SK', 'rosso', 1800, 'Manuale', 21861),
(336, 'Audi', 'XJ860QR', 'nero', 1600, 'Manuale', 21076),
(337, 'Toyota', 'BK265CF', 'giallo', 1200, 'Automatico', 7342),
(338, 'BMW', 'YS356XT', 'giallo', 1400, 'Automatico', 13935),
(339, 'BMW', 'WX458QE', 'marrone', 1600, 'Manuale', 35547),
(340, 'BMW', 'VV275DZ', 'verde', 2200, 'Manuale', 35434),
(341, 'Toyota', 'ET553NS', 'rosa', 1200, 'Manuale', 38762),
(342, 'Audi', 'XU483YM', 'rosa', 1200, 'Manuale', 28803),
(343, 'BMW', 'ZV598HC', 'viola', 2200, 'Automatico', 25815),
(344, 'BMW', 'ZT539KI', 'grigio', 1600, 'Automatico', 36191),
(345, 'BMW', 'HH685PI', 'blu', 2200, 'Automatico', 27795),
(346, 'Audi', 'SH394GP', 'giallo', 1800, 'Manuale', 19887),
(347, 'BMW', 'AL142US', 'rosa', 2400, 'Automatico', 17718),
(348, 'Mercedes', 'SB752OU', 'arancione', 1600, 'Automatico', 18656),
(349, 'Mercedes', 'HQ284TB', 'rosa', 1800, 'Automatico', 16897),
(350, 'Toyota', 'YX526BL', 'marrone', 2600, 'Automatico', 35751),
(351, 'BMW', 'IQ579ZM', 'rosa', 1800, 'Automatico', 31928),
