cliente_id,auto_id,data,tipo,prezzo,concessionaria_id
90,432,2023-06-09,VENDITA,23958,28
22,660,2021-06-10,ACQUISTO,30956,1
67,174,2006-02-21,VENDITA,23351,8
37,343,2008-02-10,ACQUISTO,26834,2
5,148,2013-01-29,ACQUISTO,43810,3
41,531,2008-02-11,VENDITA,39044,21
46,596,2013-05-18,VENDITA,37999,3
11,350,2014-09-17,ACQUISTO,29675,10
5,781,2017-10-21,ACQUISTO,36300,28
77,427,2012-11-05,ACQUISTO,39774,22
91,178,2015-01-07,VENDITA,31063,41
32,159,2006-03-06,ACQUISTO,33046,32
84,461,2020-12-04,VENDITA,23768,13
47,396,2005-11-30,VENDITA,33181,46
17,467,2017-05-21,VENDITA,29634,17
64,504,2023-08-13,ACQUISTO,31606,22
66,820,2008-02-19,ACQUISTO,44209,24
85,785,2013-01-07,ACQUISTO,28033,45
55,377,2010-04-18,ACQUISTO,28442,42
1,200,2009-03-28,VENDITA,30467,11
47,665,2006-10-17,ACQUISTO,26857,46
99,692,2012-09-24,VENDITA,41113,28
47,683,2019-09-18,ACQUISTO,21352,45
66,186,2015-05-19,ACQUISTO,47754,48
41,326,2010-04-24,VENDITA,43544,16
17,777,2012-07-26,ACQUISTO,36940,1
45,193,2010-11-01,ACQUISTO,24482,50
11,551,2017-01-08,VENDITA,39158,16
88,956,2012-05-13,VENDITA,48741,11
64,661,2021-12-01,VENDITA,49238,15
20,432,2011-06-18,VENDITA,33578,3
33,593,2016-01-22,ACQUISTO,44561,21
13,17,2016-10-29,ACQUISTO,34628,9
87,321,2009-02-26,VENDITA,45324,5
66,342,2006-09-28,VENDITA,24760,42
36,134,2017-10-31,ACQUISTO,23620,33
9,385,2015-02-13,ACQUISTO,40655,36
79,993,2022-11-26,ACQUISTO,27253,37
34,382,2018-01-05,VENDITA,24191,34
88,744,2009-11-02,VENDITA,21612,40
5,769,2021-07-05,VENDITA,40463,50
51,109,2010-02-21,ACQUISTO,39289,50
53,340,2015-02-12,ACQUISTO,45616,43
38,622,2022-01-18,VENDITA,43732,1
79,874,2017-07-11,ACQUISTO,41159,23
31,221,2010-11-09,VENDITA,24586,19
25,688,2019-01-01,ACQUISTO,20687,46
58,584,2015-04-10,VENDITA,25565,48
90,61,2020-03-17,ACQUISTO,20731,38
54,943,2018-12-10,ACQUISTO,20389,42
47,292,2008-06-09,ACQUISTO,26249,17
85,199,2009-11-17,ACQUISTO,44197,46
49,449,2015-06-12,VENDITA,35715,13
11,721,2008-10-06,ACQUISTO,34841,14
23,630,2014-04-17,ACQUISTO,37218,46
32,75,2009-02-22,VENDITA,27436,40
89,689,2016-06-04,ACQUISTO,43270,1
12,278,2007-01-03,ACQUISTO,38145,14
70,5,2018-05-04,ACQUISTO,36425,45
61,947,2005-10-11,ACQUISTO,39864,16
74,872,2007-09-04,ACQUISTO,31409,46
7,194,2008-06-06,VENDITA,24761,41
62,404,2018-11-03,VENDITA,42087,30
83,422,2024-01-01,VENDITA,32642,1
88,307,2005-07-04,ACQUISTO,37867,31
80,963,2019-11-17,ACQUISTO,25522,42
95,120,2012-01-03,ACQUISTO,39862,37
62,224,2024-01-18,VENDITA,28584,23
75,280,2009-09-20,VENDITA,22722,27
56,130,2005-11-30,ACQUISTO,24562,23
39,790,2022-09-22,ACQUISTO,28177,33
100,239,2018-06-17,ACQUISTO,42959,11
78,335,2016-05-03,VENDITA,35099,44
45,465,2016-02-24,ACQUISTO,43768,16
44,127,2005-07-04,ACQUISTO,31020,7
87,622,2011-02-25,ACQUISTO,48973,5
89,716,2012-10-01,ACQUISTO,47425,42
55,297,2019-06-07,VENDITA,25732,28
70,834,2022-12-12,VENDITA,33205,33
40,774,2021-11-13,VENDITA,44059,29
62,581,2007-06-15,ACQUISTO,27710,28
42,576,2008-04-01,ACQUISTO,20532,42
18,745,2007-03-18,VENDITA,28289,5
36,686,2021-08-09,ACQUISTO,35821,44
16,926,2013-06-04,ACQUISTO,47679,2
57,847,2009-10-29,VENDITA,24165,22
20,153,2014-09-24,ACQUISTO,43482,38
52,394,2022-04-30,ACQUISTO,29956,38
42,764,2023-08-30,VENDITA,22821,42
82,309,2015-02-20,ACQUISTO,22531,36
58,775,2013-06-26,ACQUISTO,48707,32
72,524,2011-02-17,VENDITA,45866,45
87,162,2021-12-06,ACQUISTO,40318,11
98,598,2007-09-21,VENDITA,26301,43
55,236,2009-07-07,VENDITA,46564,46
28,697,2022-07-24,VENDITA,44505,30
63,935,2022-12-01,ACQUISTO,20760,44
35,271,2009-05-03,VENDITA,22618,5
2,273,2006-06-30,ACQUISTO,30579,7
44,228,2007-01-07,VENDITA,31348,36
92,710,2020-10-16,ACQUISTO,42603,23
86,480,2011-03-02,VENDITA,30064,12
98,147,2007-12-02,ACQUISTO,40420,4
99,925,2018-07-01,ACQUISTO,25197,32
37,390,2006-12-11,VENDITA,29141,17
48,573,2005-05-03,ACQUISTO,44151,42
73,457,2015-10-27,ACQUISTO,37797,1
86,363,2008-02-02,VENDITA,49911,13
79,564,2016-03-22,ACQUISTO,46591,12
21,376,2017-12-30,ACQUISTO,32049,18
41,943,2005-04-03,VENDITA,22761,41
100,405,2012-11-20,VENDITA,48804,50
5,797,2011-11-10,ACQUISTO,30836,50
30,18,2007-09-06,VENDITA,32847,30
26,169,2021-07-10,ACQUISTO,23097,32
93,879,2005-05-01,ACQUISTO,34926,9
20,669,2007-04-13,ACQUISTO,37240,13
16,672,2008-08-17,VENDITA,41629,29
14,901,2006-03-11,VENDITA,36994,35
66,516,2007-08-06,ACQUISTO,30412,28
15,332,2012-09-21,ACQUISTO,27700,13
59,911,2011-12-28,VENDITA,49779,31
55,583,2011-11-27,VENDITA,38564,19
65,765,2023-10-03,VENDITA,45934,38
49,304,2009-01-30,ACQUISTO,35124,5
75,606,2014-05-20,ACQUISTO,23028,27
3,765,2019-07-27,ACQUISTO,42618,40
51,393,2015-11-18,ACQUISTO,36015,25
77,660,2016-02-08,VENDITA,46381,24
53,891,2005-02-06,VENDITA,39020,14
9,232,2006-05-31,ACQUISTO,39611,11
4,85,2010-01-25,ACQUISTO,22568,11
99,118,2006-01-06,ACQUISTO,36488,14
86,206,2021-12-25,VENDITA,35129,37
17,363,2023-09-24,ACQUISTO,27091,44
90,608,2007-03-16,ACQUISTO,20563,36
3,263,2011-06-20,VENDITA,38982,15
22,299,2023-05-26,ACQUISTO,25394,32
100,405,2022-03-17,ACQUISTO,30669,48
35,75,2005-10-14,VENDITA,35673,24
74,159,2005-07-12,ACQUISTO,41325,32
81,762,2017-02-21,ACQUISTO,32610,30
20,993,2015-11-07,ACQUISTO,31182,35
24,623,2018-06-15,ACQUISTO,45595,6
91,727,2020-10-26,VENDITA,21849,39
9,197,2019-08-28,VENDITA,38874,12
15,906,2015-04-27,VENDITA,45074,23
7,926,2013-03-06,VENDITA,40392,12
28,442,2020-01-13,VENDITA,45971,47
33,226,2010-07-14,ACQUISTO,46057,48
32,51,2016-04-06,VENDITA,36725,29
74,648,2018-07-11,ACQUISTO,24038,3
57,704,2022-12-29,ACQUISTO,35992,31
75,83,2018-12-27,ACQUISTO,31143,48
6,174,2023-01-07,ACQUISTO,28241,41
47,475,2016-07-29,ACQUISTO,28588,33
43,28,2008-10-31,VENDITA,28954,33
8,481,2019-11-26,VENDITA,31074,32
9,467,2020-01-19,ACQUISTO,31540,46
96,129,2005-06-21,VENDITA,24816,35
89,589,2022-05-19,ACQUISTO,48892,11
40,728,2021-06-08,ACQUISTO,30622,32
57,45,2006-08-20,ACQUISTO,34251,28
36,124,2024-02-15,VENDITA,42092,16
3,160,2014-03-06,VENDITA,22169,6
69,788,2018-04-30,VENDITA,36653,41
10,511,2006-07-24,ACQUISTO,21072,31
49,827,2013-05-13,ACQUISTO,24769,28
95,786,2009-07-09,VENDITA,27878,4
72,335,2021-06-10,ACQUISTO,43528,26
71,848,2016-04-26,ACQUISTO,31016,26
24,180,2015-10-08,VENDITA,38641,36
19,41,2020-05-14,ACQUISTO,20843,15
71,851,2018-09-16,ACQUISTO,45313,40
98,959,2007-01-23,VENDITA,41830,9
54,622,2012-01-02,VENDITA,45699,13
76,632,2023-10-06,VENDITA,39719,15
70,739,2018-12-30,VENDITA,35451,17
89,558,2005-07-04,ACQUISTO,33145,32
53,467,2017-03-16,VENDITA,42576,34
89,823,2009-04-19,VENDITA,35836,4
84,639,2006-01-04,VENDITA,28783,7
37,99,2010-03-08,VENDITA,28408,17
4,515,2005-04-22,VENDITA,29677,39
96,310,2012-09-22,ACQUISTO,36565,33
41,969,2023-11-03,VENDITA,24567,9
97,454,2009-02-01,ACQUISTO,49393,21
25,222,2018-09-19,VENDITA,41629,6
38,148,2022-06-18,ACQUISTO,25349,36
88,184,2016-11-03,VENDITA,31228,42
92,991,2006-10-01,VENDITA,41539,41
57,43,2021-05-20,ACQUISTO,33070,9
60,317,2019-06-09,VENDITA,32067,36
18,799,2023-09-23,ACQUISTO,41102,49
71,139,2014-10-09,ACQUISTO,47223,19
14,842,2015-12-24,VENDITA,30126,20
73,530,2013-01-31,ACQUISTO,20502,10
17,573,2018-06-25,ACQUISTO,43139,15
97,532,2007-01-30,VENDITA,20253,9
45,296,2022-11-07,VENDITA,32771,14
10,234,2010-12-15,ACQUISTO,34068,44
89,313,2015-06-18,VENDITA,20446,33
50,267,2011-08-21,ACQUISTO,38850,6
2,550,2010-10-23,ACQUISTO,27803,12
92,748,2014-04-13,VENDITA,38245,9
85,546,2011-07-04,VENDITA,49981,1
4,147,2010-01-25,VENDITA,25868,43
90,247,2013-06-06,VENDITA,46450,8
45,964,2007-07-07,ACQUISTO,21287,32
66,875,2008-03-10,VENDITA,48588,27
72,959,2016-11-14,ACQUISTO,38537,17
16,821,2011-06-16,ACQUISTO,36570,15
37,426,2017-05-14,VENDITA,41908,30
73,493,2022-01-17,VENDITA,49296,30
85,773,2008-03-29,ACQUISTO,38085,20
49,516,2019-01-17,ACQUISTO,27719,34
39,641,2011-08-06,VENDITA,44184,47
28,59,2008-04-01,VENDITA,46845,42
87,795,2013-01-19,ACQUISTO,22010,10
96,209,2008-09-09,VENDITA,49720,10
57,916,2006-10-06,ACQUISTO,27375,4
75,41,2022-06-29,VENDITA,40872,6
48,287,2022-01-04,ACQUISTO,22826,42
90,39,2012-12-08,VENDITA,43263,28
95,390,2006-06-11,ACQUISTO,32416,41
47,611,2014-05-23,ACQUISTO,43176,9
25,620,2011-11-24,VENDITA,38320,19
24,122,2012-03-03,VENDITA,32020,45
32,99,2013-11-20,VENDITA,20216,6
74,36,2024-01-01,VENDITA,30841,4
80,601,2013-02-02,ACQUISTO,36413,5
37,862,2005-06-14,VENDITA,41350,7
7,717,2006-07-08,ACQUISTO,23193,14
22,331,2012-02-18,ACQUISTO,29110,47
54,584,2011-10-14,ACQUISTO,42119,22
18,57,2011-06-11,VENDITA,34071,41
19,799,2012-07-05,VENDITA,21793,29
60,320,2007-05-12,VENDITA,34294,30
14,19,2024-01-24,ACQUISTO,35932,11
84,368,2020-06-24,ACQUISTO,23360,15
74,206,2019-06-14,ACQUISTO,38976,4
74,400,2007-08-17,VENDITA,46182,35
92,726,2006-07-11,ACQUISTO,32964,16
78,384,2021-06-29,VENDITA,30809,33
61,131,2005-07-12,VENDITA,44123,20
39,994,2008-08-31,ACQUISTO,41514,26
1,249,2015-12-23,VENDITA,33879,34
55,375,2011-02-18,ACQUISTO,45073,37
55,611,2012-08-12,VENDITA,43763,3
68,190,2009-03-20,ACQUISTO,35557,39
56,69,2013-03-24,ACQUISTO,24277,34
79,760,2005-03-25,VENDITA,32318,22
39,863,2022-06-04,VENDITA,37758,34
31,799,2015-01-27,ACQUISTO,42679,33
6,193,2010-05-29,ACQUISTO,24940,10
98,670,2019-11-23,ACQUISTO,27456,31
54,407,2019-09-29,ACQUISTO,23198,22
59,442,2009-11-09,VENDITA,48497,3
64,547,2019-02-06,ACQUISTO,27382,47
85,688,2008-02-04,ACQUISTO,36391,12
69,878,2011-04-01,ACQUISTO,45311,34
77,242,2013-05-16,ACQUISTO,33868,3
14,135,2013-03-23,ACQUISTO,29222,10
24,458,2018-09-24,VENDITA,38374,40
94,698,2022-08-28,ACQUISTO,49218,1
33,170,2018-08-23,ACQUISTO,27931,4
42,506,2007-05-04,ACQUISTO,28357,13
69,212,2012-01-22,ACQUISTO,25170,47
60,661,2012-08-06,ACQUISTO,26520,31
47,473,2015-06-01,ACQUISTO,28494,30
41,916,2011-08-07,ACQUISTO,43186,50
37,316,2020-01-06,ACQUISTO,29353,25
50,368,2013-07-29,ACQUISTO,22122,40
17,828,2006-04-02,ACQUISTO,22223,22
28,19,2013-05-11,VENDITA,32660,2
23,519,2017-07-01,VENDITA,45296,22
9,995,2019-10-05,ACQUISTO,48489,42
38,211,2020-09-05,VENDITA,39259,36
95,364,2012-10-07,VENDITA,44706,36
14,701,2009-07-03,ACQUISTO,32983,1
33,157,2010-08-14,VENDITA,38607,39
49,899,2013-08-14,ACQUISTO,42157,10
4,922,2016-05-08,ACQUISTO,43254,15
72,311,2023-04-02,ACQUISTO,39483,21
43,316,2006-09-15,ACQUISTO,23030,40
97,709,2013-08-01,VENDITA,44133,6
27,635,2015-03-19,ACQUISTO,28175,9
7,754,2010-03-22,ACQUISTO,24306,5
97,498,2019-05-15,ACQUISTO,29475,19
88,481,2018-11-09,ACQUISTO,44762,11
91,575,2017-01-27,VENDITA,42464,20
91,70,2006-03-09,ACQUISTO,39029,48
75,188,2011-10-18,ACQUISTO,33594,43
72,301,2008-08-08,VENDITA,34641,30
40,143,2007-06-25,ACQUISTO,20592,40
87,248,2017-07-04,ACQUISTO,49040,23
14,429,2020-03-02,VENDITA,24640,46
76,601,2014-12-05,VENDITA,21589,36
55,103,2021-03-19,VENDITA,23902,35
88,677,2009-08-26,ACQUISTO,47387,47
50,404,2008-08-09,VENDITA,47105,11
32,909,2007-11-15,ACQUISTO,20875,43
77,581,2022-06-22,ACQUISTO,33029,12
12,367,2010-08-01,ACQUISTO,39523,22
82,469,2012-10-04,VENDITA,37673,44
71,335,2018-02-11,VENDITA,26615,23
80,8,2015-05-14,ACQUISTO,26201,40
34,383,2019-06-30,VENDITA,25104,35
76,55,2020-04-05,VENDITA,21790,41
27,277,2022-01-26,VENDITA,26577,48
13,439,2018-02-03,ACQUISTO,20279,11
46,807,2021-11-15,VENDITA,29979,41
20,715,2014-03-22,VENDITA,24958,12
14,470,2020-09-16,VENDITA,25515,50
67,591,2005-04-21,ACQUISTO,43952,30
85,378,2007-11-07,VENDITA,31150,47
67,421,2008-08-01,ACQUISTO,29586,4
16,101,2014-11-28,ACQUISTO,23918,43
21,690,2023-04-12,VENDITA,40211,6
19,548,2014-10-13,ACQUISTO,21934,14
15,804,2011-06-19,VENDITA,27729,10
23,336,2009-11-30,ACQUISTO,33894,17
62,85,2016-03-19,ACQUISTO,38196,46
76,743,2023-08-19,VENDITA,20747,17
15,148,2006-07-15,VENDITA,23154,19
73,462,2015-10-15,VENDITA,42921,7
39,869,2013-01-09,VENDITA,32830,36
72,592,2007-11-30,ACQUISTO,30691,40
51,477,2020-09-16,ACQUISTO,40044,9
7,971,2009-09-11,ACQUISTO,25059,19
61,177,2018-12-12,ACQUISTO,28212,20
30,533,2009-05-18,VENDITA,34531,42
77,123,2013-10-26,ACQUISTO,49011,25
80,843,2014-04-22,VENDITA,21319,35
53,370,2023-08-04,ACQUISTO,42242,11
10,201,2013-12-06,VENDITA,36138,35
47,699,2011-03-07,ACQUISTO,43318,36
89,394,2010-03-02,ACQUISTO,37092,19
85,737,2020-02-11,ACQUISTO,35508,49
3,629,2011-01-01,ACQUISTO,35670,5
87,621,2019-04-19,ACQUISTO,22932,7
72,121,2022-04-24,ACQUISTO,20771,5
65,954,2010-05-10,ACQUISTO,48644,19
73,439,2008-07-13,VENDITA,33943,36
90,178,2011-07-07,VENDITA,43068,32
51,457,2013-10-14,ACQUISTO,40585,14
71,989,2014-08-16,VENDITA,39172,32
1,594,2019-12-20,VENDITA,40253,18
78,381,2008-09-24,VENDITA,47622,30
95,447,2018-07-29,VENDITA,43168,5
95,986,2023-09-24,VENDITA,46560,33
63,78,2016-11-15,VENDITA,36551,10
54,798,2012-09-19,ACQUISTO,28020,27
65,866,2016-05-15,VENDITA,43956,28
38,196,2017-03-28,VENDITA,40299,44
90,832,2018-06-24,ACQUISTO,44606,7
34,130,2015-05-15,VENDITA,44230,40
68,498,2017-07-10,VENDITA,20342,23
97,742,2023-12-06,VENDITA,46416,18
16,24,2013-09-20,ACQUISTO,32433,44
31,30,2018-11-14,VENDITA,30992,36
14,974,2013-06-29,VENDITA,24000,46
100,567,2015-10-02,VENDITA,29571,45
97,38,2018-03-19,VENDITA,48935,30
51,302,2013-03-07,VENDITA,45241,47
87,554,2021-08-09,VENDITA,49080,5
19,551,2021-08-28,ACQUISTO,32129,18
45,331,2020-09-15,VENDITA,36666,29
42,522,2011-10-11,VENDITA,23246,18
12,469,2022-11-11,VENDITA,46096,25
11,36,2023-07-24,VENDITA,38145,12
52,518,2016-09-13,VENDITA,38008,36
88,103,2010-01-27,ACQUISTO,39777,4
19,122,2023-01-14,VENDITA,22868,18
91,305,2023-08-06,VENDITA,30602,28
36,324,2012-02-18,VENDITA,28022,21
70,12,2013-05-15,VENDITA,28438,2
50,793,2009-07-31,ACQUISTO,40205,34
98,994,2016-08-06,ACQUISTO,48470,12
31,529,2023-08-15,VENDITA,44602,37
92,183,2015-08-09,VENDITA,41180,25
2,566,2008-04-26,ACQUISTO,35221,6
79,83,2015-04-08,VENDITA,47723,26
44,766,2020-11-19,ACQUISTO,24565,21
1,292,2009-07-25,ACQUISTO,39710,11
93,309,2022-04-07,VENDITA,25658,20
59,650,2009-09-06,VENDITA,46233,40
80,892,2016-04-27,VENDITA,34874,10
45,481,2014-05-18,VENDITA,40977,21
4,711,2013-03-29,ACQUISTO,43058,4
28,999,2010-03-03,ACQUISTO,31179,46
94,431,2005-04-22,ACQUISTO,34025,10
2,84,2022-04-02,ACQUISTO,30587,11
91,994,2006-01-15,ACQUISTO,24626,21
84,576,2013-10-22,ACQUISTO,27107,32
91,29,2008-06-04,VENDITA,27929,27
40,450,2006-03-14,ACQUISTO,24380,22
97,113,2005-08-15,ACQUISTO,45027,26
29,567,2011-05-06,ACQUISTO,33030,45
16,474,2017-10-02,ACQUISTO,20660,2
17,330,2006-05-03,VENDITA,47371,40
64,961,2013-04-22,VENDITA,46206,9
27,847,2010-02-18,VENDITA,37111,25
93,128,2005-02-28,ACQUISTO,47216,25
53,649,2018-07-13,ACQUISTO,20088,19
76,685,2009-08-24,VENDITA,34818,28
27,329,2011-11-25,ACQUISTO,33145,1
47,858,2020-02-04,ACQUISTO,29176,18
34,297,2011-02-10,ACQUISTO,30906,20
84,895,2013-10-19,ACQUISTO,44137,41
18,614,2022-04-17,VENDITA,20979,7
46,360,2015-10-15,ACQUISTO,45922,19
32,841,2014-08-05,VENDITA,24742,45
90,239,2019-12-10,ACQUISTO,28440,13
48,341,2009-04-24,VENDITA,45704,2
32,112,2008-06-18,ACQUISTO,28651,25
27,233,2022-07-19,ACQUISTO,29606,35
28,104,2008-10-03,VENDITA,36467,34
26,129,2006-10-31,ACQUISTO,21044,13
32,733,2015-04-02,VENDITA,29369,19
99,190,2010-06-07,VENDITA,36899,7
49,416,2017-04-18,VENDITA,45072,12
58,100,2007-05-04,ACQUISTO,35115,10
20,550,2017-06-07,VENDITA,22638,35
99,249,2015-04-01,ACQUISTO,29919,42
27,947,2005-07-20,VENDITA,38128,50
34,664,2022-04-01,ACQUISTO,23047,44
99,395,2021-11-02,VENDITA,27853,43
31,999,2009-04-13,ACQUISTO,33503,20
18,488,2023-01-03,VENDITA,32940,31
74,999,2016-05-16,VENDITA,22010,49
68,134,2007-04-03,ACQUISTO,29059,38
59,448,2019-02-13,VENDITA,39342,24
3,911,2022-04-26,ACQUISTO,44850,21
52,467,2017-11-05,VENDITA,23931,18
71,816,2011-05-05,ACQUISTO,43913,5
80,297,2016-11-07,VENDITA,24592,30
25,93,2006-06-04,ACQUISTO,21107,7
73,290,2022-11-28,ACQUISTO,33034,22
45,643,2010-03-31,VENDITA,26861,13
98,484,2011-02-26,ACQUISTO,34106,29
63,347,2012-12-05,ACQUISTO,44969,46
60,320,2014-02-26,VENDITA,35954,6
47,12,2006-05-21,ACQUISTO,34838,44
52,49,2013-09-21,VENDITA,22401,28
99,375,2006-02-22,VENDITA,23983,5
13,579,2011-04-22,VENDITA,21595,17
73,468,2006-01-12,VENDITA,44610,20
33,219,2006-05-06,ACQUISTO,44793,26
21,861,2016-01-15,ACQUISTO,47832,18
5,20,2015-09-22,VENDITA,36895,29
68,343,2015-09-09,ACQUISTO,40745,23
53,555,2016-04-05,VENDITA,22928,37
77,611,2007-01-07,ACQUISTO,44809,38
76,964,2022-06-30,ACQUISTO,39846,40
35,866,2016-05-10,VENDITA,45562,5
27,466,2019-10-18,VENDITA,35907,16
26,568,2012-04-13,ACQUISTO,23852,14
66,403,2024-02-20,ACQUISTO,22553,12
16,342,2011-09-22,VENDITA,37083,15
81,454,2011-05-07,ACQUISTO,23252,32
92,162,2021-01-24,ACQUISTO,29725,2
98,702,2008-08-16,VENDITA,41433,13
83,202,2022-07-14,ACQUISTO,40644,34
59,723,2005-02-10,ACQUISTO,34371,15
93,749,2023-05-22,ACQUISTO,44922,8
91,438,2023-07-29,ACQUISTO,22766,14
25,219,2017-03-08,VENDITA,29718,7
63,365,2011-02-10,ACQUISTO,48366,40
100,632,2022-09-04,VENDITA,48486,6
27,49,2011-12-17,VENDITA,25169,43
100,638,2020-10-15,VENDITA,22086,18
78,969,2020-10-28,VENDITA,37380,4
86,191,2016-01-10,ACQUISTO,21019,21
75,536,2022-07-14,VENDITA,33590,42
48,191,2008-07-04,ACQUISTO,28345,41
6,18,2005-08-12,VENDITA,36539,47
61,74,2018-01-15,VENDITA,29664,25
78,819,2014-09-18,ACQUISTO,36033,21
55,125,2020-06-22,VENDITA,26760,10
76,975,2005-11-02,ACQUISTO,44453,13
38,925,2006-09-19,ACQUISTO,28847,23
76,286,2017-12-11,ACQUISTO,23770,10
61,235,2011-01-13,ACQUISTO,47906,8
31,138,2005-12-26,ACQUISTO,34436,25
29,403,2021-02-21,VENDITA,36385,47
42,905,2010-03-10,VENDITA,41098,5
83,30,2016-04-26,ACQUISTO,28939,40
76,504,2007-07-27,ACQUISTO,32259,8
3,163,2009-09-06,VENDITA,21137,29
95,524,2007-12-05,ACQUISTO,21842,24
50,121,2008-04-22,VENDITA,41037,24
21,913,2006-02-07,ACQUISTO,26169,42
14,195,2015-11-22,VENDITA,46941,6
49,806,2011-11-14,ACQUISTO,23412,17
7,931,2018-07-06,VENDITA,28456,33
68,848,2014-04-02,ACQUISTO,20190,5
41,401,2023-12-18,VENDITA,27860,46
5,647,2014-12-02,ACQUISTO,44813,41
33,642,2015-11-02,VENDITA,33909,28
67,558,2013-03-14,VENDITA,44022,22
48,98,2021-08-11,VENDITA,43782,22
20,180,2011-03-22,ACQUISTO,45411,42
53,57,2023-08-14,VENDITA,39102,6
74,95,2021-04-18,VENDITA,34978,22
89,59,2023-07-21,ACQUISTO,36519,9
65,566,2022-04-20,ACQUISTO,49832,49
93,91,2015-03-29,VENDITA,46981,15
35,304,2011-12-16,ACQUISTO,45473,8
62,73,2006-04-11,ACQUISTO,24520,10
32,314,2012-11-25,VENDITA,44042,12
47,652,2013-11-13,VENDITA,44956,9
99,657,2011-07-07,VENDITA,25229,18
31,750,2007-09-30,VENDITA,49964,17
83,724,2015-08-11,ACQUISTO,20466,10
26,307,2006-12-29,ACQUISTO,33540,27
89,387,2019-02-12,ACQUISTO,28478,29
17,478,2008-08-10,ACQUISTO,44859,12
22,846,2016-12-18,ACQUISTO,32744,15
18,826,2016-10-19,ACQUISTO,20098,48
46,847,2018-01-25,VENDITA,34043,19
19,36,2011-02-13,VENDITA,43399,49
44,153,2023-03-05,VENDITA,35034,16
28,507,2015-09-26,VENDITA,20401,39
56,808,2016-12-10,ACQUISTO,24992,14
74,803,2014-08-31,VENDITA,48361,9
59,155,2012-07-09,VENDITA,22159,29
86,383,2017-06-08,ACQUISTO,38095,47
65,842,2010-07-03,VENDITA,27754,41
20,894,2010-03-26,VENDITA,35878,2
